src,alt,caption,link,last_updated,data_source,verification_status
"stat-children-killed/images/6000.jpg","Victims and evidence","Source: Gaza Crisis Documentation, 2024","","2024-07-15","Gaza Crisis Documentation","Verified"
"https://palestine.un.org/sites/default/files/styles/hero_header_2xl_1x/public/2024-03/image1170x530cropped.jpg?itok=6ow3Z7s9","UNICEF photo of Gaza children","Source: <a href=""https://www.unicef.org/"" target=""_blank"">UNICEF</a>","https://www.unicef.org/","2024-07-10","UNICEF","Verified"
